ring_no,species,code,age,sex,visit_date,location_name,wing,weight,min_t,max_t,ringer,sheet
NZ05869,Great Tit,GRETI,3,M,10/10/2018,KB,74,18.5,20.7,23.6,SB,SB_20181025
NZ05870,Great Tit,GRETI,4,F,10/10/2018,KB,75,17,20.5,23.4,SB,SB_20181025
NZ05871,Great Tit,GRETI,4,F,10/10/2018,KB,72,17.4,20.1,23.2,SB,SB_20181025
NZ05872,Great Tit,GRETI,3,F,10/10/2018,KB,71,17.8,19.6,22.6,SB,SB_20181025
NZ05873,Great Tit,GRETI,3,M,10/10/2018,KB,74,20.5,21.7,24.6,SB,SB_20181025
NZ05874,Great Tit,GRETI,4,M,10/10/2018,KB,78,18.5,21,23.8,SB,SB_20181025
S873877,Chaffinch,CHAFF,4,M,10/10/2018,KB,88,21.8,18,21,SB,SB_20181025
S873878,Blue Tit,BLUTI,3,,10/10/2018,KB,64,10.3,16.2,18.9,SB,SB_20181025
S873879,Chaffinch,CHAFF,4,F,10/10/2018,KB,82,19.8,19.3,22,SB,SB_20181025
S873880,Chaffinch,CHAFF,4,F,10/10/2018,KB,82,18.7,18.2,20.9,SB,SB_20181025
S873881,Chaffinch,CHAFF,4,F,10/10/2018,KB,81,16.9,16.6,19.1,SB,SB_20181025
S873882,Chaffinch,CHAFF,4,M,10/10/2018,KB,87,20.8,19.1,21.5,SB,SB_20181025
S873883,Chaffinch,CHAFF,3,F,10/10/2018,KB,81,19.7,18.5,21.3,SB,SB_20181025
S873884,Chaffinch,CHAFF,4,F,10/10/2018,KB,82,19.6,18.1,20.9,SB,SB_20181025
S873885,Chaffinch,CHAFF,3,M,10/10/2018,KB,88,20.4,18.5,21.1,SB,SB_20181025
S873886,Chaffinch,CHAFF,3,F,10/10/2018,KB,79,21.1,18.9,21.6,SB,SB_20181025
NZ05875,Great Tit,GRETI,3,F,11/10/2018,DD,74,18.4,21.1,24,SB,SB_20181025
NZ05876,Great Tit,GRETI,4,F,11/10/2018,DD,74,16.6,20.6,23.5,SB,SB_20181025
NZ05877,Great Tit,GRETI,4,M,11/10/2018,DD,76,19.1,20.8,23.9,SB,SB_20181025
VZ72673,Great Tit,GRETI,4,M,11/10/2018,DD,76,18,19.7,22.6,SB,SB_20181025
VZ80788,Great Tit,GRETI,4,M,11/10/2018,DD,78,18.6,21,23.6,SB,SB_20181025
VZ72662,Great Tit,GRETI,4,F,11/10/2018,DD,77,18.1,20.6,23.5,SB,SB_20181025
NZ05878,Great Tit,GRETI,3,F,11/10/2018,DD,72,17.3,20.5,23.5,SB,SB_20181025
VZ80855,Great Tit,GRETI,4,M,11/10/2018,DD,78,19.1,20.7,23.7,SB,SB_20181025
S873889,Blue Tit,BLUTI,4,,11/10/2018,DD,64,10.1,16.9,19.2,SB,SB_20181025
S873890,Blue Tit,BLUTI,3,,11/10/2018,DD,59,9.1,16.5,18.9,SB,SB_20181025
S873891,Chaffinch,CHAFF,4,F,11/10/2018,DD,82,18.5,17.2,20.4,SB,SB_20181025
S873892,Chaffinch,CHAFF,4,M,11/10/2018,DD,86,20,18.4,21,SB,SB_20181025
S873893,Chaffinch,CHAFF,3,M,11/10/2018,DD,87,21.3,19.4,22.4,SB,SB_20181025
S873894,Chaffinch,CHAFF,3,F,11/10/2018,DD,79,21.8,18.8,21.5,SB,SB_20181025
S873897,Chaffinch,CHAFF,4,M,11/10/2018,DD,86,21,18.5,21.1,SB,SB_20181025
S873898,Chaffinch,CHAFF,3,F,11/10/2018,DD,80,18.1,17.3,20,SB,SB_20181025
S873899,Chaffinch,CHAFF,3,F,11/10/2018,DD,81,19.7,17.6,20.4,SB,SB_20181025
S873900,Chaffinch,CHAFF,3,F,11/10/2018,DD,82,19.7,18.4,21.1,SB,SB_20181025
AYC3278,Blue Tit,BLUTI,3,,11/10/2018,DD,65,10.4,17.2,19.9,SB,SB_20181025
AYC3279,Blue Tit,BLUTI,3,,11/10/2018,DD,61,9.9,16.5,18.8,SB,SB_20181025
AYC3280,Blue Tit,BLUTI,3,,11/10/2018,DD,62,10.2,16.8,19.2,SB,SB_20181025
AYC3281,Blue Tit,BLUTI,3,,11/10/2018,DD,64,10.9,17.2,20,SB,SB_20181025
AYC3282,Chaffinch,CHAFF,4,M,11/10/2018,DD,85,20.3,18.8,21.2,SB,SB_20181025
AYC3283,Chaffinch,CHAFF,3,F,11/10/2018,DD,80,19.4,17.9,20.7,SB,SB_20181025
AYC3284,Chaffinch,CHAFF,4,M,11/10/2018,DD,89,19.1,17.9,20.4,SB,SB_20181025
AYC3285,Chaffinch,CHAFF,3,M,11/10/2018,DD,87,20.7,18.6,21.6,SB,SB_20181025
AYC3287,Chaffinch,CHAFF,3,M,11/10/2018,DD,85,20.6,18.1,20.9,SB,SB_20181025
AYC3288,Chaffinch,CHAFF,3,M,11/10/2018,DD,83,21.2,18.6,21.4,SB,SB_20181025
AYC3289,Chaffinch,CHAFF,3,M,11/10/2018,DD,88,22.4,18.4,21.1,SB,SB_20181025
AYC3290,Chaffinch,CHAFF,4,M,11/10/2018,DD,86,22.1,19,21.7,SB,SB_20181025
NZ05879,Great Tit,GRETI,3,M,14/10/2018,BP,76,19.2,20.1,22.9,SB,SB_20181025
S842393,Great Tit,GRETI,4,F,14/10/2018,BP,73,17,20.1,23.1,SB,SB_20181025
NZ05880,Great Tit,GRETI,3,M,14/10/2018,BP,76,19.3,21.4,24.7,SB,SB_20181025
S842689,Great Tit,GRETI,4,F,14/10/2018,BP,74,17.3,20.5,23.6,SB,SB_20181025
S152716,Great Tit,GRETI,4,M,14/10/2018,BP,77,17.6,20.7,23.8,SB,SB_20181025
AYC3297,Chaffinch,CHAFF,3,F,14/10/2018,BP,79,18,17.8,20.5,SB,SB_20181025
LK05056,Blackbird,BLABI,3,F,14/10/2018,BP,125,87,34.5,39.2,SB,SB_20181025
LK05057,Blackbird,BLABI,3,M,14/10/2018,BP,130,96.9,35.5,40.8,SB,SB_20181025
LK05058,Blackbird,BLABI,3,M,14/10/2018,BP,131,89.3,35,39.7,SB,SB_20181025
AYC3555,Blue Tit,BLUTI,3,,14/10/2018,BP,66,10.7,17,19.9,SB,SB_20181025
AYC3564,Chaffinch,CHAFF,3,F,14/10/2018,BP,80,19.2,17.9,20.8,SB,SB_20181025
AYC3565,Chaffinch,CHAFF,3,F,14/10/2018,BP,79,18.7,17,19.6,SB,SB_20181025
AYC3566,Chaffinch,CHAFF,3,F,14/10/2018,BP,78,18,17.7,20.1,SB,SB_20181025
AYC3568,Blue Tit,BLUTI,3,,14/10/2018,BP,62,9.8,15.9,18.4,SB,SB_20181025
AYC3569,Chaffinch,CHAFF,3,M,14/10/2018,BP,85,21.4,18.5,21.3,SB,SB_20181025
NZ05884,Great Tit,GRETI,3,M,15/10/2018,DW,75,18.4,20.5,23.4,SB,SB_20181025
VZ72639,Great Tit,GRETI,4,F,15/10/2018,DW,72,16.1,19.8,22.6,SB,SB_20181025
NZ05596,Great Tit,GRETI,4,F,15/10/2018,DW,73,16.8,20.2,23.1,SB,SB_20181025
NZ05885,Great Tit,GRETI,4,M,15/10/2018,DW,77,18.8,21,24,SB,SB_20181025
NZ05886,Great Tit,GRETI,3,F,15/10/2018,DW,73,17.7,19,22,SB,SB_20181025
NZ05887,Great Tit,GRETI,4,M,15/10/2018,DW,75,18.5,20.4,23.6,SB,SB_20181025
NZ05888,Great Tit,GRETI,4,F,15/10/2018,DW,73,16.6,20.2,23,SB,SB_20181025
AYC3571,Chaffinch,CHAFF,3,M,15/10/2018,DW,86,21.6,18.9,21.6,SB,SB_20181025
AYC3572,Chaffinch,CHAFF,3,M,15/10/2018,DW,83,19.5,18.3,21,SB,SB_20181025
AYC3573,Chaffinch,CHAFF,3,M,15/10/2018,DW,85,20,18.3,20.9,SB,SB_20181025
AYC3574,Chaffinch,CHAFF,3,M,15/10/2018,DW,84,21.5,18.2,21,SB,SB_20181025
AYC3575,Chaffinch,CHAFF,3,M,15/10/2018,DW,86,21.5,17.7,20.6,SB,SB_20181025
AYC3576,Chaffinch,CHAFF,3,F,15/10/2018,DW,81,19,19,21.8,SB,SB_20181025
AYC3577,Chaffinch,CHAFF,3,M,15/10/2018,DW,85,22.5,18.9,21.5,SB,SB_20181025
AYC3578,Blue Tit,BLUTI,3,,15/10/2018,DW,60,9.5,16.5,19.2,SB,SB_20181025
AYC3579,Robin,ROBIN,3,,15/10/2018,DW,74,18.7,26.8,29.7,SB,SB_20181025
AYC3580,Chaffinch,CHAFF,3,M,15/10/2018,DW,87,21.1,18.7,21.6,SB,SB_20181025
AYC3581,Chaffinch,CHAFF,4,M,16/10/2018,DD,88,19.8,16.7,19.2,SB,SB_20181025
NZ05889,Great Tit,GRETI,3,F,16/10/2018,DD,74,16.5,20,22.9,SB,SB_20181025
TX52084,Great Tit,GRETI,4,M,16/10/2018,DD,78,18.4,21,24.2,SB,SB_20181025
AYC3583,Blue Tit,BLUTI,3,,17/10/2018,KB,65,10.1,16.9,19.1,SB,SB_20181022
AYC3584,Blue Tit,BLUTI,4,,17/10/2018,KB,63,10.6,17.2,19.6,SB,SB_20181022
AYC3587,Blue Tit,BLUTI,4,,17/10/2018,KB,62,9.5,16.6,19,SB,SB_20181022
AYC3589,Blue Tit,BLUTI,3,,17/10/2018,KB,60,9.4,16.8,19.5,SB,SB_20181022
AYC3591,Blue Tit,BLUTI,3,,17/10/2018,KB,60,9.2,16.1,18.3,SB,SB_20181022
AYC3593,Blue Tit,BLUTI,3,,17/10/2018,KB,62,10.3,17,19.4,SB,SB_20181022
AYC3596,Blue Tit,BLUTI,4,,17/10/2018,KB,60,10.1,16.5,19.2,SB,SB_20181022
AYC3599,Blue Tit,BLUTI,3,,17/10/2018,KB,60,10,16.2,18.9,SB,SB_20181022
AYC3585,Chaffinch,CHAFF,3,M,17/10/2018,KB,83,20.8,18.5,21.3,SB,SB_20181022
AYC3586,Chaffinch,CHAFF,3,F,17/10/2018,KB,79,18.2,18.8,21.5,SB,SB_20181022
AYC3595,Chaffinch,CHAFF,4,F,17/10/2018,KB,82,19.3,18.5,21,SB,SB_20181022
AYC3600,Chaffinch,CHAFF,3,F,17/10/2018,KB,78,18.9,17.6,20.4,SB,SB_20181022
AYC3601,Chaffinch,CHAFF,3,F,17/10/2018,KB,77,19.1,18.7,21.2,SB,SB_20181022
AYC3602,Chaffinch,CHAFF,3,F,17/10/2018,KB,80,17.8,17.6,20.2,SB,SB_20181022
AYC3603,Chaffinch,CHAFF,3,F,17/10/2018,KB,76,19,18.6,21.1,SB,SB_20181022
S152865,Great Tit,GRETI,4,F,17/10/2018,KB,75,17.6,20.5,23.1,SB,SB_20181022
S842665,Great Tit,GRETI,4,M,17/10/2018,KB,76,18.8,20.3,23.2,SB,SB_20181022
NZ05890,Great Tit,GRETI,3,F,17/10/2018,KB,71,16.7,20.1,22.8,SB,SB_20181022
NZ05891,Great Tit,GRETI,3,M,17/10/2018,KB,72,17.6,20.4,23.2,SB,SB_20181022
NZ05892,Great Tit,GRETI,4,F,17/10/2018,KB,74,18.1,20.9,23.4,SB,SB_20181022
NZ05893,Great Tit,GRETI,3,F,17/10/2018,KB,72,17.4,20.7,23.2,SB,SB_20181022
AYC3594,Robin,ROBIN,3,,17/10/2018,KB,74,18,26,28.9,SB,SB_20181022
AYC3613,Blue Tit,BLUTI,3,,18/10/2018,CB,62,10,17.2,19.7,SB,SB_20181022
AYC3615,Blue Tit,BLUTI,3,,18/10/2018,CB,60,9.7,16.9,19.1,SB,SB_20181022
AYC3616,Blue Tit,BLUTI,3,,18/10/2018,CB,63,10.4,16.3,19.1,SB,SB_20181022
AYC3610,Chaffinch,CHAFF,4,M,18/10/2018,CB,88,19.3,18.3,21.3,SB,SB_20181022
AYC3611,Chaffinch,CHAFF,3,M,18/10/2018,CB,83,23.6,18.5,21.5,SB,SB_20181022
AYC3618,Chaffinch,CHAFF,3,F,18/10/2018,CB,77,19.8,18,20.6,SB,SB_20181022
VZ72650,Great Tit,GRETI,4,F,18/10/2018,CB,73,17.6,20.5,23.5,SB,SB_20181022
NZ05894,Great Tit,GRETI,3,M,18/10/2018,CB,73,18.6,20.6,23.6,SB,SB_20181022
LK05060,Blackbird,BLABI,3,F,19/10/2018,IN,122,91.3,34,39,SB,SB_20181022
AYC3628,Chaffinch,CHAFF,4,F,19/10/2018,IN,82,19.5,17.9,20.5,SB,SB_20181022
AYC3629,Chaffinch,CHAFF,4,M,19/10/2018,IN,91,20.3,18.9,21.7,SB,SB_20181022
AYC3630,Chaffinch,CHAFF,4,M,19/10/2018,IN,86,19.8,18.9,21.5,SB,SB_20181022
S842652,Great Tit,GRETI,4,F,19/10/2018,IN,72,17.2,20.8,23.4,SB,SB_20181022
NZ05517,Great Tit,GRETI,4,F,19/10/2018,IN,73,17.3,20.4,22.9,SB,SB_20181022
AYC3619,Robin,ROBIN,3,,19/10/2018,IN,74,17.7,25.8,28.8,SB,SB_20181022
AYC3620,Robin,ROBIN,3,,19/10/2018,IN,75,17.5,25.7,28.7,SB,SB_20181022
AYC3621,Robin,ROBIN,3,,19/10/2018,IN,74,18,26,28.8,SB,SB_20181022
AYC2017,Blue Tit,BLUTI,3,,20/10/2018,FORC,60,,15.5,18.5,SB,SB_20181022
AYC2030,Blue Tit,BLUTI,3,,20/10/2018,FORC,64,,16.5,18.7,SB,SB_20181022
AFB9998,Chaffinch,CHAFF,3,F,20/10/2018,FORC,82,19.2,18.8,21.2,SB,SB_20181022
AYC2002,Chaffinch,CHAFF,3,F,20/10/2018,FORC,82,19.1,18.4,21.1,SB,SB_20181022
AYC2005,Chaffinch,CHAFF,3,F,20/10/2018,FORC,82,20.7,19,21.7,SB,SB_20181022
AYC2011,Chaffinch,CHAFF,3,F,20/10/2018,FORC,82,21.7,18.5,21.1,SB,SB_20181022
AYC2015,Chaffinch,CHAFF,3,F,20/10/2018,FORC,83,20.1,17.8,20.9,SB,SB_20181022
AYC2021,Chaffinch,CHAFF,3,F,20/10/2018,FORC,82,20.7,18.3,21.3,SB,SB_20181022
AYC2025,Chaffinch,CHAFF,3,F,20/10/2018,FORC,80,19.3,18.1,21.1,SB,SB_20181022
AYC2026,Chaffinch,CHAFF,3,F,20/10/2018,FORC,81,18.2,18,20.7,SB,SB_20181022
AYC2027,Chaffinch,CHAFF,3,F,20/10/2018,FORC,82,20.3,18.7,21.3,SB,SB_20181022
AYC2029,Chaffinch,CHAFF,3,F,20/10/2018,FORC,81,19.8,18.2,21,SB,SB_20181022
AYC2035,Chaffinch,CHAFF,3,F,20/10/2018,FORC,80,18,17.5,20.5,SB,SB_20181022
AYC2001,Great Tit,GRETI,3,F,20/10/2018,FORC,76,18,21,24,SB,SB_20181022
AYC2004,Great Tit,GRETI,3,,20/10/2018,FORC,72,17,20.4,23.5,SB,SB_20181022
AYC2006,Great Tit,GRETI,3,F,20/10/2018,FORC,72,17.4,20.4,23.9,SB,SB_20181022
AYC2057,Blue Tit,BLUTI,3,,21/10/2018,SOM,64,11.4,17.3,19.6,SB,SB_20181022
AYC2046,Great Tit,GRETI,3,M,21/10/2018,SOM,74,18.4,20.5,23.5,SB,SB_20181022
AYC2044,Robin,ROBIN,4,,21/10/2018,SOM,74,19,26,28.8,SB,SB_20181022
AYC3644,Blue Tit,BLUTI,3,,22/10/2018,DW,62,10,17.4,20,SB,SB_20181022
AYC3645,Blue Tit,BLUTI,3,,22/10/2018,DW,61,9,16.1,18.3,SB,SB_20181022
AYC3646,Blue Tit,BLUTI,4,,22/10/2018,DW,62,10.1,17.5,19.9,SB,SB_20181022
S842638,Blue Tit,BLUTI,4,,22/10/2018,DW,64,10.6,16.7,19.2,SB,SB_20181022
AYC3633,Chaffinch,CHAFF,3,F,22/10/2018,DW,81,19.8,18.8,21.4,SB,SB_20181022
AYC3635,Chaffinch,CHAFF,3,F,22/10/2018,DW,80,18.8,18,20.5,SB,SB_20181022
AYC3636,Chaffinch,CHAFF,3,F,22/10/2018,DW,83,20,17.4,20,SB,SB_20181022
AYC3637,Chaffinch,CHAFF,3,F,22/10/2018,DW,81,18.8,17.8,20.3,SB,SB_20181022
AYC3638,Chaffinch,CHAFF,3,F,22/10/2018,DW,79,19.4,18.5,21.3,SB,SB_20181022
AYC3639,Chaffinch,CHAFF,3,F,22/10/2018,DW,81,20,18,20.5,SB,SB_20181022
AYC3640,Chaffinch,CHAFF,3,M,22/10/2018,DW,85,20.9,18.1,20.6,SB,SB_20181022
AYC3641,Chaffinch,CHAFF,3,F,22/10/2018,DW,81,20,18.6,21.1,SB,SB_20181022
AYC3642,Chaffinch,CHAFF,3,M,22/10/2018,DW,85,21.1,18.8,21.4,SB,SB_20181022
AYC3643,Chaffinch,CHAFF,3,F,22/10/2018,DW,82,19.5,18.5,21,SB,SB_20181022
AYC3647,Chaffinch,CHAFF,4,M,22/10/2018,DW,89,21.5,18.8,21.3,SB,SB_20181022
AYC3648,Chaffinch,CHAFF,3,F,22/10/2018,DW,79,18.5,18.5,21.1,SB,SB_20181022
AYC3649,Chaffinch,CHAFF,3,F,22/10/2018,DW,77,17.8,17.3,19.5,SB,SB_20181022
AYC3651,Chaffinch,CHAFF,4,F,22/10/2018,DW,83,18.6,17.6,20.2,SB,SB_20181022
AYC3652,Chaffinch,CHAFF,3,F,22/10/2018,DW,83,18.9,18.7,21.5,SB,SB_20181022
AYC3653,Chaffinch,CHAFF,3,F,22/10/2018,DW,80,19.8,17.8,20.6,SB,SB_20181022
NZ05817,Great Tit,GRETI,3,M,22/10/2018,DW,74,18.6,20.8,23.7,SB,SB_20181022
D534818,Great Tit,GRETI,4,F,22/10/2018,DW,73,16.8,19.1,22.5,SB,SB_20181022
VZ72627,Great Tit,GRETI,4,F,22/10/2018,DW,76,17.7,20.3,22.9,SB,SB_20181022
NZ05551,Great Tit,GRETI,4,M,22/10/2018,DW,76,19.1,21.4,24,SB,SB_20181022
NZ05512,Great Tit,GRETI,3,F,22/10/2018,DW,72,17.5,20.9,23.9,SB,SB_20181022
NZ05895,Great Tit,GRETI,4,F,22/10/2018,DW,74,19,20.3,23.3,SB,SB_20181022
NZ05896,Great Tit,GRETI,3,M,22/10/2018,DW,78,18.6,20.9,24.1,SB,SB_20181022
NZ05897,Great Tit,GRETI,3,M,22/10/2018,DW,73,18.2,18.7,21.6,SB,SB_20181022
AYC3654,Robin,ROBIN,4,,23/10/2018,CB,77,17.8,26.9,30,SB,SB_20181025
AYC3659,Chaffinch,CHAFF,3,M,23/10/2018,CB,86,25.2,19,22,SB,SB_20181025
AYC3661,Blue Tit,BLUTI,4,,23/10/2018,CB,64,10.8,17.6,20.2,SB,SB_20181025
AYC3662,Blue Tit,BLUTI,3,,23/10/2018,CB,63,10,17.7,20.3,SB,SB_20181025
AYC3663,Blue Tit,BLUTI,4,,23/10/2018,CB,62,9.7,16.9,19.4,SB,SB_20181025
AYC3664,Blue Tit,BLUTI,4,,23/10/2018,CB,64,10.8,17.6,20.1,SB,SB_20181025
AYC3665,Blue Tit,BLUTI,3,,23/10/2018,CB,62,9.9,16.7,19.2,SB,SB_20181025
AYC3667,Chaffinch,CHAFF,3,F,23/10/2018,CB,80,19.7,19,21.5,SB,SB_20181025
AYC3668,Chaffinch,CHAFF,4,F,23/10/2018,CB,82,19.9,18.9,21.7,SB,SB_20181025
VZ80800,Great Tit,GRETI,4,M,23/10/2018,CB,77,18.2,20.5,23.3,SB,SB_20181025
NZ05898,Great Tit,GRETI,4,F,23/10/2018,CB,73,18.1,20.9,23.7,SB,SB_20181025
NZ05899,Great Tit,GRETI,4,M,23/10/2018,CB,79,18.1,21,24,SB,SB_20181025
NZ05900,Great Tit,GRETI,4,F,23/10/2018,CB,73,15.5,18.7,21.7,SB,SB_20181025
VZ80114,Great Tit,GRETI,3,M,23/10/2018,CB,76,19.6,21.6,24.6,SB,SB_20181025
VZ80115,Great Tit,GRETI,3,F,23/10/2018,CB,73,17,19.7,22.7,SB,SB_20181025
VZ80116,Great Tit,GRETI,3,F,23/10/2018,CB,75,17.8,20.8,23.7,SB,SB_20181025
VZ72645,Great Tit,GRETI,4,M,23/10/2018,CB,78,19.8,21.8,24.5,SB,SB_20181025
AYC3669,Chaffinch,CHAFF,4,F,24/10/2018,KB,80,17.4,18,20.5,SB,SB_20181025
AYC3670,Chaffinch,CHAFF,3,F,24/10/2018,KB,79,18.6,18.3,21.1,SB,SB_20181025
AYC3674,Blue Tit,BLUTI,3,,24/10/2018,KB,65,10.2,17.8,20.5,SB,SB_20181025
AYC3675,Blue Tit,BLUTI,3,,24/10/2018,KB,61,9.8,16.6,19.2,SB,SB_20181025
AYC3676,Blue Tit,BLUTI,3,,24/10/2018,KB,61,9.5,16.8,19.3,SB,SB_20181025
AYC3677,Blue Tit,BLUTI,4,,24/10/2018,KB,66,10.5,17.8,20.5,SB,SB_20181025
AYC3678,Blue Tit,BLUTI,3,,24/10/2018,KB,61,9.8,16,18.6,SB,SB_20181025
AYC3679,Chaffinch,CHAFF,3,M,24/10/2018,KB,87,20.3,18,20.8,SB,SB_20181025
VZ80117,Great Tit,GRETI,3,M,24/10/2018,KB,74,18,21,23.8,SB,SB_20181025
VZ80118,Great Tit,GRETI,4,M,24/10/2018,KB,77,19.3,20.4,23.5,SB,SB_20181025
VZ80119,Great Tit,GRETI,4,F,24/10/2018,KB,76,17.8,19.8,23.1,SB,SB_20181025
VZ80120,Great Tit,GRETI,3,M,24/10/2018,KB,76,19.2,21,24.2,SB,SB_20181025
VZ80121,Great Tit,GRETI,4,F,24/10/2018,KB,72,18.9,19.6,22.7,SB,SB_20181025
VZ80122,Great Tit,GRETI,3,M,24/10/2018,KB,78,18.7,20.8,23.9,SB,SB_20181025
VZ80525,Great Tit,GRETI,3,M,24/10/2018,KB,74,17.3,20,23,SB,SB_20181025
LK05061,Blackbird,BLABI,3,M,25/10/2018,BP,128,89.9,35.2,39.9,SB,SB_20181025
ALA887,Long-tailed Tit,LOTTI,2,,25/10/2018,,59,7.2,17,19.2,JS,RJF_20181027
DXC502,Wren,WREN,3,,25/10/2018,,48,8.3,16.2,19.1,JS,RJF_20181027
DXC503,Long-tailed Tit,LOTTI,2,,25/10/2018,,62,7.4,17.3,18.8,JS,RJF_20181027
DXC504,Long-tailed Tit,LOTTI,2,,25/10/2018,,59,7.2,17.5,19,JS,RJF_20181027
DXC507,Long-tailed Tit,LOTTI,2,,25/10/2018,,63,7.9,16.7,19,JS,RJF_20181027
DXC508,Wren,WREN,3,,25/10/2018,,50,9.9,17.9,20.3,JS,RJF_20181027
LC97737,Blackbird,BLABI,3,M,25/10/2018,,126,100.2,35,39.1,JS,RJF_20181027
LC97738,Blackbird,BLABI,4,M,25/10/2018,,129,95.1,31.9,38.7,JS,RJF_20181027
LC97739,Blackbird,BLABI,3,F,25/10/2018,,126,99.1,34.1,39,JS,RJF_20181027
Y638721,Robin,ROBIN,3,,25/10/2018,,71,17.6,25.6,29,JS,RJF_20181027
Y638732,Chaffinch,CHAFF,4,M,25/10/2018,,87,21.3,18.6,21,JS,RJF_20181027
AYC3727,Chaffinch,CHAFF,3,F,26/10/2018,IN,79,19.6,18.9,21.5,SB,SB_20181030
AYC3728,Chaffinch,CHAFF,3,F,26/10/2018,IN,80,19.7,17.9,20.5,SB,SB_20181030
AYC3729,Chaffinch,CHAFF,3,F,26/10/2018,IN,79,17.5,17.7,20.1,SB,SB_20181030
AYC3732,Blue Tit,BLUTI,3,,30/10/2018,DD,65,10.9,17.4,20,SB,SB_20181030
AYC3733,Chaffinch,CHAFF,3,F,30/10/2018,DD,80,19.4,19,21.8,SB,SB_20181030
AYC3734,Blue Tit,BLUTI,3,,30/10/2018,DD,63,10,17.5,20,SB,SB_20181030
AYC3735,Chaffinch,CHAFF,3,F,30/10/2018,DD,85,20.6,18.5,21.1,SB,SB_20181030
AYC3736,Chaffinch,CHAFF,3,F,30/10/2018,DD,83,20.4,18.7,21.5,SB,SB_20181030
AYC3737,Chaffinch,CHAFF,3,F,30/10/2018,DD,80,20.5,19,21.6,SB,SB_20181030
AYC3738,Chaffinch,CHAFF,3,F,30/10/2018,DD,80,18.3,16.8,19.4,SB,SB_20181030
AYC3739,Chaffinch,CHAFF,3,F,30/10/2018,DD,82,20.8,18.5,21,SB,SB_20181030
AYC3740,Chaffinch,CHAFF,3,M,30/10/2018,DD,84.5,20.3,18.3,20.8,SB,SB_20181030
VZ72658,Great Tit,GRETI,4,M,30/10/2018,DD,76,18.9,20.5,23.5,SB,SB_20181030
VZ80130,Great Tit,GRETI,3,M,30/10/2018,DD,77,19,21.1,24.3,SB,SB_20181030
TL73378,Dunnock,DUNNO,3,,03/11/2018,"PANT (Pantmawr Road, Whitchurch)",68,21,20.4,22.7,RJF,RJF_20181104
TL73377,Dunnock,DUNNO,3,,03/11/2018,"PANT (Pantmawr Road, Whitchurch)",66,20.1,22,23.5,RJF,RJF_20181104
